Artists_Name,Primary_Link,Artists_Image,Artists_Texts,Work_Url_link,Weight,Artists_Code
Race,,Image/Artists_Image/Race_Cate.jpg,Race,Image/Artists_Image/Race_Cate.jpg,3416760,A1
Sexuality,,Image/Artists_Image/Sexuality_Cate.jpg,Sexuality,Image/Artists_Image/Sexuality_Cate.jpg,3416760,A2
Gender,,Image/Artists_Image/Gender_Cate.jpg,Gender,Image/Artists_Image/Gender_Cate.jpg,3416760,A3
Religion,,Image/Artists_Image/Class_Cate.jpg,Religion,Image/Artists_Image/Class_Cate.jpg,3416760,A4
Mental Ability ,,Image/Artists_Image/Mental_Ability_Cate.jpg,Mental Ability ,Image/Artists_Image/Mental_Ability_Cate.jpg,3416760,A5
Joseph Kosuth,https://www.theartstory.org/artist/kosuth-joseph/artworks/,Image/Artists_Image/bio_kosuth_joseph.jpg,Race Conceptual Art,Carrie_Mae_Weems.jpg,70470,A6
Robert Adam,https://art21.org/read/robert-adams-photography-life-and-beauty/,Image/Artists_Image/Adams-Robert-450x450.jpg,Race Photography,Joseph_Kosuth_Work.jpg,55540,A7
Kara Walker,https://www.theartstory.org/artist/walker-kara/artworks/,Image/Artists_Image/bio_walker_kara.jpg,Race Conceptual Art,Kara_Walker.jpg,70470,A8
Carrie Mae Weems,https://www.pamm.org/collections/mayflowers-may-days-long-forgotten,Image/Artists_Image/11-17nwcmw.jpg,Race Photography,Robert_Adam_Work.jpg,55540,A9
Jenny Holzer,https://www.moma.org/collection/works/106991,Image/Artists_Image/Jenny-Holzer-1-555x312.jpg,Race Conceptual Art & Installation Art,Jenny_Holzer_Work.jpg,70470,A10
Helen Levitt,https://www.theartstory.org/artist/levitt-helen/artworks/,Image/Artists_Image/bio_levitt_helen.jpg,Race Photography,Helen_Levitt_Work.jpg,55540,A11
Chris Ofili,https://www.theartstory.org/artist/ofili-chris/artworks/,Image/Artists_Image/bio_ofili_chris.jpg,Race Gender Young British Artist Race Painter and Race Sculptor,Chris_Ofili_Work.jpg,70470,A12
William Kentridge,https://www.theartstory.org/artist/kentridge-william/artworks/,Image/Artists_Image/bio_kentridge_william.jpg,Race Video Art: Sleeper - Red (1997),William_Kentridge_Work.jpg,55540,A13
